last_review,ma20
2019-01-01,1678.0
2019-01-02,1433.2
2019-01-03,1224.35
2019-01-04,1085.05
2019-01-05,988.9
2019-01-06,899.05
2019-01-07,821.55
2019-01-08,856.5
2019-01-09,863.1
2019-01-10,857.8
2019-01-11,854.0
2019-01-12,851.9
2019-01-13,851.95
2019-01-14,833.0
2019-01-15,877.65
2019-01-16,888.3
2019-01-17,885.8
2019-01-18,875.4
2019-01-19,856.95
2019-01-20,837.85
2019-01-21,752.5
2019-01-22,717.55
2019-01-23,678.05
2019-01-24,650.9
2019-01-25,624.25
2019-01-26,603.75
2019-01-27,600.05
2019-01-28,539.85
2019-01-29,559.75
2019-01-30,573.0
2019-01-31,569.6
2019-02-01,559.8
2019-02-02,558.05
2019-02-03,560.7
2019-02-04,521.85
2019-02-05,588.5
2019-02-06,623.6
2019-02-07,636.25
2019-02-08,646.65
2019-02-09,668.95
2019-02-10,689.7
2019-02-11,684.7
2019-02-12,749.0
2019-02-13,783.0
2019-02-14,818.0
2019-02-15,839.2
2019-02-16,847.05
2019-02-17,869.15
2019-02-18,850.05
2019-02-19,897.55
2019-02-20,912.65
2019-02-21,901.85
2019-02-22,883.6
2019-02-23,862.65
2019-02-24,853.35
2019-02-25,786.3
2019-02-26,799.75
2019-02-27,815.95
2019-02-28,811.95
2019-03-01,796.9
2019-03-02,787.05
2019-03-03,791.6
2019-03-04,746.0
2019-03-05,790.15
2019-03-06,797.45
2019-03-07,792.7
2019-03-08,780.75
2019-03-09,759.95
2019-03-10,753.3
2019-03-11,707.4
2019-03-12,757.3
2019-03-13,785.95
2019-03-14,800.45
2019-03-15,818.2
2019-03-16,832.8
2019-03-17,854.6
2019-03-18,831.55
2019-03-19,875.65
2019-03-20,903.8
2019-03-21,903.05
2019-03-22,894.85
2019-03-23,876.4
2019-03-24,864.15
2019-03-25,794.15
2019-03-26,796.65
2019-03-27,801.7
2019-03-28,813.75
2019-03-29,828.5
2019-03-30,840.3
2019-03-31,861.8
2019-04-01,819.8
2019-04-02,860.45
2019-04-03,974.45
2019-04-04,1006.25
2019-04-05,1010.1
2019-04-06,1007.7
2019-04-07,1033.05
2019-04-08,1009.0
2019-04-09,1046.4
2019-04-10,1072.8
2019-04-11,1109.9
2019-04-12,1139.25
2019-04-13,1149.75
2019-04-14,1182.05
2019-04-15,1181.05
2019-04-16,1236.1
2019-04-17,1243.35
2019-04-18,1220.6
2019-04-19,1187.95
2019-04-20,1144.15
2019-04-21,1116.8
2019-04-22,1053.6
2019-04-23,964.0
2019-04-24,933.1
2019-04-25,912.4
2019-04-26,885.9
2019-04-27,850.7
2019-04-28,833.1
2019-04-29,781.3
2019-04-30,807.6
2019-05-01,798.5
2019-05-02,791.75
2019-05-03,801.0
2019-05-04,798.2
2019-05-05,788.15
2019-05-06,732.55
2019-05-07,757.9
2019-05-08,787.45
2019-05-09,814.15
2019-05-10,831.45
2019-05-11,849.6
2019-05-12,898.85
2019-05-13,926.0
2019-05-14,1068.0
2019-05-15,1120.0
2019-05-16,1138.25
2019-05-17,1147.9
2019-05-18,1132.85
2019-05-19,1119.7
2019-05-20,1066.65
2019-05-21,1074.0
2019-05-22,1104.5
2019-05-23,1089.65
2019-05-24,1066.9
2019-05-25,1040.7
2019-05-26,1026.7
2019-05-27,991.75
2019-05-28,1018.85
2019-05-29,1020.15
2019-05-30,1022.0
2019-05-31,1026.75
2019-06-01,1008.65
2019-06-02,993.35
2019-06-03,876.3
2019-06-04,930.45
2019-06-05,974.25
2019-06-06,1002.2
2019-06-07,1049.3
2019-06-08,1091.0
2019-06-09,1141.65
2019-06-10,1161.7
2019-06-11,1229.0
2019-06-12,1289.3
2019-06-13,1322.65
2019-06-14,1358.45
2019-06-15,1408.2
2019-06-16,1468.6
2019-06-17,1475.75
2019-06-18,1586.1
2019-06-19,1635.75
2019-06-20,1656.1
2019-06-21,1660.95
2019-06-22,1636.35
2019-06-23,1628.5
2019-06-24,1543.55
2019-06-25,1521.4
2019-06-26,1513.35
2019-06-27,1482.2
2019-06-28,1457.55
2019-06-29,1424.15
2019-06-30,1399.0
2019-07-01,1313.45
2019-07-02,1293.1
2019-07-03,1282.4
2019-07-04,1264.5
2019-07-05,1234.25
2019-07-06,1183.0
2019-07-07,1149.7
2019-07-08,1042.5
2019-07-09,1035.65
2019-07-10,1041.15
2019-07-11,1030.85
2019-07-12,1050.4
2019-07-13,1036.45
2019-07-14,1033.9
2019-07-15,1012.6
2019-07-16,1008.9
2019-07-17,1011.7
2019-07-18,1016.85
2019-07-19,1024.9
2019-07-20,1029.85
2019-07-21,1038.05
2019-07-22,1020.55
2019-07-23,1036.9
2019-07-24,1043.05
2019-07-25,1027.35
2019-07-26,1010.7
2019-07-27,989.0
2019-07-28,987.7
2019-07-29,954.15
2019-07-30,950.25
2019-07-31,945.8
2019-08-01,915.8
2019-08-02,912.8
2019-08-03,911.45
2019-08-04,917.0
2019-08-05,908.2
2019-08-06,932.45
2019-08-07,937.3
2019-08-08,920.75
2019-08-09,908.1
2019-08-10,891.6
2019-08-11,898.1
2019-08-12,902.15
2019-08-13,951.4
2019-08-14,970.25
2019-08-15,982.8
2019-08-16,987.0
2019-08-17,974.9
2019-08-18,974.6
2019-08-19,953.4
2019-08-20,1007.45
2019-08-21,1034.25
2019-08-22,1042.75
2019-08-23,1056.75
2019-08-24,1062.25
2019-08-25,1075.55
2019-08-26,1063.25
2019-08-27,1126.15
2019-08-28,1151.5
2019-08-29,1145.45
2019-08-30,1129.0
2019-08-31,1098.0
2019-09-01,1063.7
2019-09-02,1005.25
2019-09-03,1017.55
2019-09-04,1010.25
2019-09-05,1009.2
2019-09-06,1006.8
2019-09-07,1001.85
2019-09-08,1007.45
2019-09-09,959.7
2019-09-10,1020.0
2019-09-11,1062.15
2019-09-12,1079.3
2019-09-13,1076.15
2019-09-14,1059.3
2019-09-15,1051.45
2019-09-16,989.0
2019-09-17,1032.25
2019-09-18,1053.0
2019-09-19,1070.8
2019-09-20,1084.2
2019-09-21,1096.25
2019-09-22,1121.95
2019-09-23,1113.9
2019-09-24,1196.75
2019-09-25,1232.45
2019-09-26,1245.85
2019-09-27,1238.75
2019-09-28,1221.25
2019-09-29,1207.5
2019-09-30,1119.15
2019-10-01,1094.65
2019-10-02,1065.6
2019-10-03,1052.9
2019-10-04,1049.95
2019-10-05,1046.85
2019-10-06,1050.3
2019-10-07,979.65
2019-10-08,990.4
2019-10-09,982.2
2019-10-10,970.4
2019-10-11,955.15
2019-10-12,938.65
2019-10-13,927.35
2019-10-14,871.4
2019-10-15,931.85
2019-10-16,931.55
2019-10-17,920.7
2019-10-18,911.15
2019-10-19,897.15
2019-10-20,886.15
2019-10-21,834.75
2019-10-22,820.55
2019-10-23,824.25
2019-10-24,796.6
2019-10-25,757.7
2019-10-26,713.45
2019-10-27,691.2
2019-10-28,635.2
2019-10-29,627.15
2019-10-30,611.8
2019-10-31,589.2
2019-11-01,555.6
2019-11-02,530.15
2019-11-03,491.35
2019-11-04,384.85
2019-11-05,398.1
2019-11-06,408.1
2019-11-07,406.8
2019-11-08,410.3
2019-11-09,416.25
2019-11-10,429.85
2019-11-11,432.75
2019-11-12,454.8
2019-11-13,472.75
2019-11-14,485.2
2019-11-15,500.2
2019-11-16,506.1
2019-11-17,519.8
2019-11-18,510.85
2019-11-19,540.55
2019-11-20,554.75
2019-11-21,557.2
2019-11-22,549.75
2019-11-23,530.6
2019-11-24,509.55
2019-11-25,452.85
2019-11-26,420.95
2019-11-27,399.75
2019-11-28,373.85
2019-11-29,350.3
2019-11-30,
2019-12-01,
2019-12-02,
2019-12-03,
2019-12-04,
2019-12-05,
2019-12-06,
2019-12-07,
2019-12-08,
2019-12-09,
2019-12-10,
2019-12-11,
2019-12-12,
2019-12-13,
2019-12-14,
2019-12-15,
2019-12-16,
2019-12-18,
2019-12-19,
